Freq.	2/V(o5)	2/V(o9)	2/V(o10)	2/V(o12)	2/V(o15)	2/V(o20)
1.00000000000000e+000	(6.63346172802349e+001dB,-1.79999855147974e+002°)	(6.55825093152746e+001dB,-1.79999889588987e+002°)	(6.52167692815716e+001dB,-1.79999911872884e+002°)	(6.56169517787482e+001dB,-1.79999908074208e+002°)	(6.57312995928561e+001dB,-1.79999926121356e+002°)	(6.59295843499722e+001dB,-1.79999956344881e+002°)
1.00230523807790e+000	(6.63346172802348e+001dB,-1.79999854814055e+002°)	(6.55825093133972e+001dB,-1.79999889334463e+002°)	(6.52167692815718e+001dB,-1.79999911669730e+002°)	(6.56169517806334e+001dB,-1.79999907862298e+002°)	(6.57312995909459e+001dB,-1.79999925951048e+002°)	(6.59295843538814e+001dB,-1.79999956244245e+002°)
1.00461579027840e+000	(6.63346172843299e+001dB,-1.79999854479367e+002°)	(6.55825093171528e+001dB,-1.79999889079352e+002°)	(6.52167692833728e+001dB,-1.79999911466108e+002°)	(6.56169517787484e+001dB,-1.79999907649898e+002°)	(6.57312995928566e+001dB,-1.79999925780348e+002°)	(6.59295843538819e+001dB,-1.79999956143378e+002°)
1.00693166885180e+000	(6.63346172822822e+001dB,-1.79999854143907e+002°)	(6.55825093171527e+001dB,-1.79999888823654e+002°)	(6.52167692815715e+001dB,-1.79999911262016e+002°)	(6.56169517787481e+001dB,-1.79999907437009e+002°)	(6.57312995928561e+001dB,-1.79999925609254e+002°)	(6.59295843538814e+001dB,-1.79999956042278e+002°)
1.00925288607668e+000	(6.63346172822820e+001dB,-1.79999853807674e+002°)	(6.55825093152746e+001dB,-1.79999888567366e+002°)	(6.52167692815721e+001dB,-1.79999911057454e+002°)	(6.56169517768628e+001dB,-1.79999907223630e+002°)	(6.57312995909453e+001dB,-1.79999925437766e+002°)	(6.59295843519280e+001dB,-1.79999955940945e+002°)
1.01157945425990e+000	(6.63346172802342e+001dB,-1.79999853470666e+002°)	(6.55825093152748e+001dB,-1.79999888310487e+002°)	(6.52167692833727e+001dB,-1.79999910852421e+002°)	(6.56169517844045e+001dB,-1.79999907009758e+002°)	(6.57312995928570e+001dB,-1.79999925265882e+002°)	(6.59295843519271e+001dB,-1.79999955839378e+002°)
1.01391138573668e+000	(6.63346172884247e+001dB,-1.79999853132881e+002°)	(6.55825093152742e+001dB,-1.79999888053016e+002°)	(6.52167692851731e+001dB,-1.79999910646914e+002°)	(6.56169517806335e+001dB,-1.79999906795393e+002°)	(6.57312995890365e+001dB,-1.79999925093602e+002°)	(6.59295843558363e+001dB,-1.79999955737577e+002°)
1.01624869287070e+000	(6.63346172863769e+001dB,-1.79999852794317e+002°)	(6.55825093152744e+001dB,-1.79999887794952e+002°)	(6.52167692815718e+001dB,-1.79999910440934e+002°)	(6.56169517768625e+001dB,-1.79999906580535e+002°)	(6.57312995909462e+001dB,-1.79999924920925e+002°)	(6.59295843558363e+001dB,-1.79999955635542e+002°)
1.01859138805412e+000	(6.63346172884245e+001dB,-1.79999852454973e+002°)	(6.55825093171521e+001dB,-1.79999887536292e+002°)	(6.52167692815723e+001dB,-1.79999910234479e+002°)	(6.56169517787482e+001dB,-1.79999906365180e+002°)	(6.57312995871252e+001dB,-1.79999924747850e+002°)	(6.59295843519275e+001dB,-1.79999955533271e+002°)
1.02093948370768e+000	(6.63346172843290e+001dB,-1.79999852114847e+002°)	(6.55825093133962e+001dB,-1.79999887277037e+002°)	(6.52167692833721e+001dB,-1.79999910027548e+002°)	(6.56169517825189e+001dB,-1.79999906149330e+002°)	(6.57312995947666e+001dB,-1.79999924574376e+002°)	(6.59295843538810e+001dB,-1.79999955430765e+002°)
