Freq.	V(ol5)	V(ol9)	V(ol10)	V(ol12)	V(ol15)	V(ol20)
1.00000000000000e+000	(5.96020432178336e+001dB,-7.36631218863651e-004°)	(6.12205126144525e+001dB,-8.03150697875552e-004°)	(6.16512390191087e+001dB,-8.25702050458434e-004°)	(6.25489879340235e+001dB,-8.78248266076232e-004°)	(6.40062204670110e+001dB,-9.79556924558983e-004°)	(6.68651815007896e+001dB,-1.24307980140835e-003°)
1.00230523807790e+000	(5.96020432178280e+001dB,-7.38329329198372e-004°)	(6.12205126144486e+001dB,-8.05002151446341e-004°)	(6.16512390191045e+001dB,-8.27605490265887e-004°)	(6.25489879340202e+001dB,-8.80272837420869e-004°)	(6.40062204670066e+001dB,-9.81815036480661e-004°)	(6.68651815007815e+001dB,-1.24594539629971e-003°)
1.00461579027840e+000	(5.96020432178262e+001dB,-7.40031354082004e-004°)	(6.12205126144454e+001dB,-8.06857873058473e-004°)	(6.16512390190996e+001dB,-8.29513317955198e-004°)	(6.25489879340390e+001dB,-8.82302075886679e-004°)	(6.40062204669986e+001dB,-9.84078353887537e-004°)	(6.68651815007707e+001dB,-1.24881759706914e-003°)
1.00693166885180e+000	(5.96020432178243e+001dB,-7.41737302538206e-004°)	(6.12205126144414e+001dB,-8.08717872550654e-004°)	(6.16512390190962e+001dB,-8.31425543641668e-004°)	(6.25489879340463e+001dB,-8.84335992229125e-004°)	(6.40062204669913e+001dB,-9.86346888779952e-004°)	(6.68651815007625e+001dB,-1.25169641894554e-003°)
1.00925288607668e+000	(5.96020432178217e+001dB,-7.43447183611691e-004°)	(6.12205126144389e+001dB,-8.10582159784621e-004°)	(6.16512390190927e+001dB,-8.33342177463617e-004°)	(6.25489879340046e+001dB,-8.86374597228004e-004°)	(6.40062204669861e+001dB,-9.88620653185613e-004°)	(6.68651815007523e+001dB,-1.25458187719145e-003°)
1.01157945425990e+000	(5.96020432178184e+001dB,-7.45161006368072e-004°)	(6.12205126144356e+001dB,-8.12450744644435e-004°)	(6.16512390190885e+001dB,-8.35263229582742e-004°)	(6.25489879340012e+001dB,-8.88417901700631e-004°)	(6.40062204669829e+001dB,-9.90899659159799e-004°)	(6.68651815007441e+001dB,-1.25747398710587e-003°)
1.01391138573668e+000	(5.96020432178157e+001dB,-7.46878779893982e-004°)	(6.12205126144330e+001dB,-8.14323637037294e-004°)	(6.16512390190828e+001dB,-8.37188710184246e-004°)	(6.25489879340341e+001dB,-8.90465916480221e-004°)	(6.40062204669776e+001dB,-9.93183918785091e-004°)	(6.68651815007324e+001dB,-1.26037276402169e-003°)
1.01624869287070e+000	(5.96020432178138e+001dB,-7.48600513296899e-004°)	(6.12205126144261e+001dB,-8.16200846892606e-004°)	(6.16512390190792e+001dB,-8.39118629477143e-004°)	(6.25489879340307e+001dB,-8.92518652417781e-004°)	(6.40062204669674e+001dB,-9.95473444172094e-004°)	(6.68651815007234e+001dB,-1.26327822330882e-003°)
1.01859138805412e+000	(5.96020432178097e+001dB,-7.50326215705033e-004°)	(6.12205126144234e+001dB,-8.18082384163957e-004°)	(6.16512390190728e+001dB,-8.41052997693204e-004°)	(6.25489879340251e+001dB,-8.94576120400170e-004°)	(6.40062204669621e+001dB,-9.97768247460755e-004°)	(6.68651815007136e+001dB,-1.26619038037123e-003°)
1.02093948370768e+000	(5.96020432178055e+001dB,-7.52055896268055e-004°)	(6.12205126144086e+001dB,-8.19968258825521e-004°)	(6.16512390190685e+001dB,-8.42991825088751e-004°)	(6.25489879340195e+001dB,-8.96638331336084e-004°)	(6.40062204669588e+001dB,-1.00006834081758e-003°)	(6.68651815007053e+001dB,-1.26910925064918e-003°)
1.02329299228075e+000	(5.96020432178028e+001dB,-7.53789564156706e-004°)	(6.12205126144052e+001dB,-8.21858480878243e-004°)	(6.16512390190663e+001dB,-8.44935121943220e-004°)	(6.25489879340153e+001dB,-8.98705296159321e-004°)	(6.40062204669534e+001dB,-1.00237373643695e-003°)	(6.68651815006933e+001dB,-1.27203484961752e-003°)
1.02565192625141e+000	(5.96020432178008e+001dB,-7.55527228562647e-004°)	(6.12205126143975e+001dB,-8.23753060342410e-004°)	(6.16512390190648e+001dB,-8.46882898559671e-004°)	(6.25489879340111e+001dB,-9.00777025828565e-004°)	(6.40062204669431e+001dB,-1.00468444654152e-003°)	(6.68651815006842e+001dB,-1.27496719278842e-003°)
1.02801629812647e+000	(5.96020432177944e+001dB,-7.57268898698369e-004°)	(6.12205126143955e+001dB,-8.25652007263842e-004°)	(6.16512390190590e+001dB,-8.48835165264533e-004°)	(6.25489879340083e+001dB,-9.02853531328079e-004°)	(6.40062204669397e+001dB,-1.00700048338380e-003°)	(6.68651815006784e+001dB,-1.27790629570894e-003°)
1.03038612044162e+000	(5.96020432177916e+001dB,-7.59014583798721e-004°)	(6.12205126143971e+001dB,-8.27555331710362e-004°)	(6.16512390190546e+001dB,-8.50791932409071e-004°)	(6.25489879339998e+001dB,-9.04934823666556e-004°)	(6.40062204669357e+001dB,-1.00932185924233e-003°)	(6.68651815006699e+001dB,-1.28085217396102e-003°)
1.03276140576140e+000	(5.96020432177874e+001dB,-7.60764293118703e-004°)	(6.12205126143930e+001dB,-8.29463043772323e-004°)	(6.16512390190502e+001dB,-8.52753210367747e-004°)	(6.25489879339969e+001dB,-9.07020913879961e-004°)	(6.40062204669302e+001dB,-1.01164858642471e-003°)	(6.68651815006571e+001dB,-1.28380484316321e-003°)
1.03514216667934e+000	(5.96020432177868e+001dB,-7.62518035935557e-004°)	(6.12205126143859e+001dB,-8.31375153564501e-004°)	(6.16512390190479e+001dB,-8.54719009539251e-004°)	(6.25489879339926e+001dB,-9.09111813027805e-004°)	(6.40062204669211e+001dB,-1.01398067726677e-003°)	(6.68651815006491e+001dB,-1.28676431897157e-003°)
1.03752841581801e+000	(5.96020432177811e+001dB,-7.64275821546683e-004°)	(6.12205126143831e+001dB,-8.33291671225385e-004°)	(6.16512390190413e+001dB,-8.56689340345450e-004°)	(6.25489879339883e+001dB,-9.11207532195995e-004°)	(6.40062204669163e+001dB,-1.01631814413394e-003°)	(6.68651815006376e+001dB,-1.28973061707574e-003°)
1.03992016582906e+000	(5.96020432177782e+001dB,-7.66037659272390e-004°)	(6.12205126143775e+001dB,-8.35212606915483e-004°)	(6.16512390190376e+001dB,-8.58664213233522e-004°)	(6.25489879339825e+001dB,-9.13308082495654e-004°)	(6.40062204669078e+001dB,-1.01866099941832e-003°)	(6.68651815006101e+001dB,-1.29270375320088e-003°)
1.04231742939330e+000	(5.96020432177747e+001dB,-7.67803558453431e-004°)	(6.12205126143732e+001dB,-8.37137970819820e-004°)	(6.16512390190316e+001dB,-8.60643638673562e-004°)	(6.25489879339796e+001dB,-9.15413475064136e-004°)	(6.40062204669029e+001dB,-1.02100925554233e-003°)	(6.68651815005999e+001dB,-1.29568374311519e-003°)
1.04472021922080e+000	(5.96020432177711e+001dB,-7.69573528452516e-004°)	(6.12205126143690e+001dB,-8.39067773146330e-004°)	(6.16512390190286e+001dB,-8.62627627160767e-004°)	(6.25489879339724e+001dB,-9.17523721063301e-004°)	(6.40062204668945e+001dB,-1.02336292495534e-003°)	(6.68651815005910e+001dB,-1.29867060261593e-003°)
1.04712854805090e+000	(5.96020432177668e+001dB,-7.71347578653765e-004°)	(6.12205126143668e+001dB,-8.41002024126851e-004°)	(6.16512390190226e+001dB,-8.64616189213510e-004°)	(6.25489879339679e+001dB,-9.19638831682185e-004°)	(6.40062204668916e+001dB,-1.02572202013737e-003°)	(6.68651815005801e+001dB,-1.30166434753859e-003°)
1.04954242865232e+000	(5.96020432177646e+001dB,-7.73125718463291e-004°)	(6.12205126143604e+001dB,-8.42940734015979e-004°)	(6.16512390190195e+001dB,-8.66609335375493e-004°)	(6.25489879339628e+001dB,-9.21758818134532e-004°)	(6.40062204668859e+001dB,-1.02808655359510e-003°)	(6.68651815005697e+001dB,-1.30466499375615e-003°)
1.05196187382322e+000	(5.96020432177602e+001dB,-7.74907957308219e-004°)	(6.12205126143568e+001dB,-8.44883913093234e-004°)	(6.16512390190149e+001dB,-8.68607076213760e-004°)	(6.25489879339562e+001dB,-9.23883691660214e-004°)	(6.40062204668752e+001dB,-1.03045653786483e-003°)	(6.68651815005607e+001dB,-1.30767255717783e-003°)
1.05438689639126e+000	(5.96020432177566e+001dB,-7.76694304638061e-004°)	(6.12205126143524e+001dB,-8.46831571660817e-004°)	(6.16512390190118e+001dB,-8.70609422320412e-004°)	(6.25489879339531e+001dB,-9.26013463525642e-004°)	(6.40062204668716e+001dB,-1.03283198551335e-003°)	(6.68651815005517e+001dB,-1.31068705374921e-003°)
1.05681750921366e+000	(5.96020432177529e+001dB,-7.78484769923778e-004°)	(6.12205126143495e+001dB,-8.48783720045230e-004°)	(6.16512390190050e+001dB,-8.72616384311204e-004°)	(6.25489879339443e+001dB,-9.28148145021658e-004°)	(6.40062204668651e+001dB,-1.03521290913391e-003°)	(6.68651815005384e+001dB,-1.31370849945226e-003°)
1.05925372517729e+000	(5.96020432177500e+001dB,-7.80279362658315e-004°)	(6.12205126143458e+001dB,-8.50740368596370e-004°)	(6.16512390190018e+001dB,-8.74627972827554e-004°)	(6.25489879339398e+001dB,-9.30287747467195e-004°)	(6.40062204668374e+001dB,-1.03759932134777e-003°)	(6.68651815005314e+001dB,-1.31673691030792e-003°)
1.06169555719872e+000	(5.96020432177448e+001dB,-7.82078092356163e-004°)	(6.12205126143421e+001dB,-8.52701527688239e-004°)	(6.16512390189978e+001dB,-8.76644198534266e-004°)	(6.25489879339352e+001dB,-9.32432282205764e-004°)	(6.40062204668316e+001dB,-1.03999123481249e-003°)	(6.68651815005222e+001dB,-1.31977230237127e-003°)
1.06414301822431e+000	(5.96020432177580e+001dB,-7.83880968555850e-004°)	(6.12205126143377e+001dB,-8.54667207718659e-004°)	(6.16512390189939e+001dB,-8.78665072121251e-004°)	(6.25489879339328e+001dB,-9.34581760607681e-004°)	(6.40062204668250e+001dB,-1.04238866220714e-003°)	(6.68651815005088e+001dB,-1.32281469173535e-003°)
1.06659612123026e+000	(5.96020432177536e+001dB,-7.85688000812814e-004°)	(6.12205126143332e+001dB,-8.56637419109528e-004°)	(6.16512390189877e+001dB,-8.80690604302764e-004°)	(6.25489879339268e+001dB,-9.36736194068687e-004°)	(6.40062204668148e+001dB,-1.04479161624227e-003°)	(6.68651815004995e+001dB,-1.32586409453187e-003°)
1.06905487922266e+000	(5.96020432177528e+001dB,-7.87499198709674e-004°)	(6.12205126143281e+001dB,-8.58612172306658e-004°)	(6.16512390189830e+001dB,-8.82720805818331e-004°)	(6.25489879339228e+001dB,-9.38895594011972e-004°)	(6.40062204668110e+001dB,-1.04720010965932e-003°)	(6.68651815004853e+001dB,-1.32892052692709e-003°)
1.07151930523761e+000	(5.96020432177460e+001dB,-7.89314571848356e-004°)	(6.12205126143243e+001dB,-8.60591477780174e-004°)	(6.16512390189826e+001dB,-8.84755687432174e-004°)	(6.25489879339139e+001dB,-9.41059971885696e-004°)	(6.40062204668050e+001dB,-1.04961415522682e-003°)	(6.68651815004822e+001dB,-1.33198400512833e-003°)
1.07398941234124e+000	(5.96020432177422e+001dB,-7.91134129854595e-004°)	(6.12205126143183e+001dB,-8.62575346023831e-004°)	(6.16512390189764e+001dB,-8.86795259932009e-004°)	(6.25489879338153e+001dB,-9.43229339156043e-004°)	(6.40062204667983e+001dB,-1.05203376574402e-003°)	(6.68651815004672e+001dB,-1.33505454537435e-003°)
1.07646521362983e+000	(5.96020432177399e+001dB,-7.92957882375365e-004°)	(6.12205126143145e+001dB,-8.64563787556317e-004°)	(6.16512390189702e+001dB,-8.88839534132042e-004°)	(6.25489879338078e+001dB,-9.45403707344236e-004°)	(6.40062204667880e+001dB,-1.05445895403908e-003°)	(6.68651815004563e+001dB,-1.33813216394730e-003°)
1.07894672222983e+000	(5.96020432177368e+001dB,-7.94785839079813e-004°)	(6.12205126143107e+001dB,-8.66556812919930e-004°)	(6.16512390189661e+001dB,-8.90888520871004e-004°)	(6.25489879338023e+001dB,-9.47583087968991e-004°)	(6.40062204667967e+001dB,-1.05688973297283e-003°)	(6.68651815004468e+001dB,-1.34121687716399e-003°)
1.08143395129794e+000	(5.96020432177300e+001dB,-7.96618009659337e-004°)	(6.12205126143047e+001dB,-8.68554432681292e-004°)	(6.16512390189619e+001dB,-8.92942231012225e-004°)	(6.25489879337997e+001dB,-9.49767492585262e-004°)	(6.40062204667913e+001dB,-1.05932611542904e-003°)	(6.68651815004372e+001dB,-1.34430870137904e-003°)
1.08392691402120e+000	(5.96020432177254e+001dB,-7.98454403828443e-004°)	(6.12205126143137e+001dB,-8.70556657433291e-004°)	(6.16512390189571e+001dB,-8.95000675444180e-004°)	(6.25489879337942e+001dB,-9.51956932773925e-004°)	(6.40062204667697e+001dB,-1.06176811432488e-003°)	(6.68651815004241e+001dB,-1.34740765298446e-003°)
1.08642562361706e+000	(5.96020432177230e+001dB,-8.00295031323512e-004°)	(6.12205126143091e+001dB,-8.72563497788663e-004°)	(6.16512390189236e+001dB,-8.97063865077689e-004°)	(6.25489879337873e+001dB,-9.54151420143312e-004°)	(6.40062204667755e+001dB,-1.06421574261292e-003°)	(6.68651815004165e+001dB,-1.35051374841196e-003°)
1.08893009333343e+000	(5.96020432177169e+001dB,-8.02139901902831e-004°)	(6.12205126143052e+001dB,-8.74574964388916e-004°)	(6.16512390189165e+001dB,-8.99131810857224e-004°)	(6.25489879337824e+001dB,-9.56350966328783e-004°)	(6.40062204667693e+001dB,-1.06666901326540e-003°)	(6.68651815004061e+001dB,-1.35362700412847e-003°)
1.09144033644876e+000	(5.96020432177137e+001dB,-8.03989025348337e-004°)	(6.12205126142998e+001dB,-8.76591067898418e-004°)	(6.16512390189116e+001dB,-9.01204523744320e-004°)	(6.25489879337776e+001dB,-9.58555582991868e-004°)	(6.40062204667666e+001dB,-1.06912793929124e-003°)	(6.68651815003907e+001dB,-1.35674743663985e-003°)
1.09395636627209e+000	(5.96020432177120e+001dB,-8.05842411463741e-004°)	(6.12205126142210e+001dB,-8.78611818999136e-004°)	(6.16512390189073e+001dB,-9.03282014728161e-004°)	(6.25489879337720e+001dB,-9.60765281821161e-004°)	(6.40062204667554e+001dB,-1.07159253372596e-003°)	(6.68651815003823e+001dB,-1.35987506249215e-003°)
1.09647819614318e+000	(5.96020432177081e+001dB,-8.07700070075177e-004°)	(6.12205126142177e+001dB,-8.80637228419809e-004°)	(6.16512390189031e+001dB,-9.05364294823325e-004°)	(6.25489879337657e+001dB,-9.62980074532232e-004°)	(6.40062204667491e+001dB,-1.07406280963821e-003°)	(6.68651815003724e+001dB,-1.36300989826643e-003°)
1.09900583943252e+000	(5.96020432177041e+001dB,-8.09562011031990e-004°)	(6.12205126142138e+001dB,-8.82667306891332e-004°)	(6.16512390188967e+001dB,-9.07451375069632e-004°)	(6.25489879337586e+001dB,-9.65199972867734e-004°)	(6.40062204667463e+001dB,-1.07653878012498e-003°)	(6.68651815003604e+001dB,-1.36615196058317e-003°)
1.10153930954141e+000	(5.96020432177001e+001dB,-8.11428244205997e-004°)	(6.12205126142068e+001dB,-8.84702065176756e-004°)	(6.16512390188909e+001dB,-9.09543266532857e-004°)	(6.25489879337550e+001dB,-9.67424988597785e-004°)	(6.40062204667357e+001dB,-1.07902045831225e-003°)	(6.68651815003455e+001dB,-1.36930126610117e-003°)
1.10407861990207e+000	(5.96020432176946e+001dB,-8.13298779491633e-004°)	(6.12205126142035e+001dB,-8.86741514064816e-004°)	(6.16512390188880e+001dB,-9.11639980304236e-004°)	(6.25489879337472e+001dB,-9.69655133518356e-004°)	(6.40062204667308e+001dB,-1.08150785735925e-003°)	(6.68651815003383e+001dB,-1.37245783151935e-003°)
1.10662378397766e+000	(5.96020432176928e+001dB,-8.15173626806792e-004°)	(6.12205126142002e+001dB,-8.88785664368112e-004°)	(6.16512390188823e+001dB,-9.13741527499746e-004°)	(6.25489879337429e+001dB,-9.71890419454310e-004°)	(6.40062204667088e+001dB,-1.08400099045116e-003°)	(6.68651815003268e+001dB,-1.37562167357166e-003°)
1.10917481526240e+000	(5.96020432176910e+001dB,-8.17052796091355e-004°)	(6.12205126141939e+001dB,-8.90834526924229e-004°)	(6.16512390188793e+001dB,-9.15847919262162e-004°)	(6.25489879337400e+001dB,-9.74130858256661e-004°)	(6.40062204667165e+001dB,-1.08649987081206e-003°)	(6.68651815003146e+001dB,-1.37879280903304e-003°)
1.11173172728159e+000	(5.96020432176840e+001dB,-8.18936297308028e-004°)	(6.12205126141898e+001dB,-8.92888112596546e-004°)	(6.16512390188742e+001dB,-9.17959166758845e-004°)	(6.25489879337321e+001dB,-9.76376461803310e-004°)	(6.40062204667093e+001dB,-1.08900451168530e-003°)	(6.68651815003051e+001dB,-1.38197125471706e-003°)
1.11429453359173e+000	(5.96020432176836e+001dB,-8.20824140444045e-004°)	(6.12205126141828e+001dB,-8.94946432272458e-004°)	(6.16512390188684e+001dB,-9.20075281183582e-004°)	(6.25489879337263e+001dB,-9.78627242000989e-004°)	(6.40062204667013e+001dB,-1.09151492635194e-003°)	(6.68651815002962e+001dB,-1.38515702747520e-003°)
1.11686324778056e+000	(5.96020432176765e+001dB,-8.22716335507326e-004°)	(6.12205126141808e+001dB,-8.97009496865769e-004°)	(6.16512390188783e+001dB,-9.22196273757515e-004°)	(6.25489879337211e+001dB,-9.80883210782951e-004°)	(6.40062204666962e+001dB,-1.09403112812242e-003°)	(6.68651815002831e+001dB,-1.38835014419734e-003°)
1.11943788346715e+000	(5.96020432176746e+001dB,-8.24612892531196e-004°)	(6.12205126141759e+001dB,-8.99077317313844e-004°)	(6.16512390188589e+001dB,-9.24322155721205e-004°)	(6.25489879337181e+001dB,-9.83144380110301e-004°)	(6.40062204666861e+001dB,-1.09655313033641e-003°)	(6.68651815002714e+001dB,-1.39155062181394e-003°)
1.12201845430196e+000	(5.96020432176734e+001dB,-8.26513821570593e-004°)	(6.12205126141681e+001dB,-9.01149904580063e-004°)	(6.16512390188673e+001dB,-9.26452938351881e-004°)	(6.25489879337108e+001dB,-9.85410761970795e-004°)	(6.40062204666808e+001dB,-1.09908094636654e-003°)	(6.68651815002609e+001dB,-1.39475847729364e-003°)
1.12460497396692e+000	(5.96020432176685e+001dB,-8.28419132703659e-004°)	(6.12205126141667e+001dB,-9.03227269654023e-004°)	(6.16512390188621e+001dB,-9.28588632942378e-004°)	(6.25489879337056e+001dB,-9.87682368381295e-004°)	(6.40062204666735e+001dB,-1.10161458961418e-003°)	(6.68651815002512e+001dB,-1.39797372764403e-003°)
1.12719745617551e+000	(5.96020432176643e+001dB,-8.30328836032560e-004°)	(6.12205126141639e+001dB,-9.05309423548895e-004°)	(6.16512390188575e+001dB,-9.30729250817454e-004°)	(6.25489879337004e+001dB,-9.89959211385383e-004°)	(6.40062204666675e+001dB,-1.10415407351288e-003°)	(6.68651815002358e+001dB,-1.40119638991106e-003°)
1.12979591467280e+000	(5.96020432176461e+001dB,-8.32242941680961e-004°)	(6.12205126141589e+001dB,-9.07396377303992e-004°)	(6.16512390188537e+001dB,-9.32874803326425e-004°)	(6.25489879336930e+001dB,-9.92241303054428e-004°)	(6.40062204666608e+001dB,-1.10669941152646e-003°)	(6.68651815002238e+001dB,-1.40442648118241e-003°)
1.13240036323556e+000	(5.96020432175665e+001dB,-8.34161459792745e-004°)	(6.12205126141539e+001dB,-9.09488141984361e-004°)	(6.16512390188341e+001dB,-9.35025301843055e-004°)	(6.25489879336877e+001dB,-9.94528655488310e-004°)	(6.40062204666519e+001dB,-1.10925061714990e-003°)	(6.68651815002153e+001dB,-1.40766401858370e-003°)
