Freq.	V(d5+)	V(d5u)
1.00000000000000e+000	(-5.40816203153880e+001dB,6.15015980395373e-004°)	(-6.11477735600288e+001dB,6.10421007574368e-004°)
1.00230523807790e+000	(-5.40816203153545e+001dB,6.16433738649626e-004°)	(-6.11477735600270e+001dB,6.11828173324491e-004°)
1.00461579027840e+000	(-5.40816203153444e+001dB,6.17854765176440e-004°)	(-6.11477735600251e+001dB,6.13238582926675e-004°)
1.00693166885180e+000	(-5.40816203153498e+001dB,6.19279067507582e-004°)	(-6.11477735600219e+001dB,6.14652243858732e-004°)
1.00925288607668e+000	(-5.40816203153631e+001dB,6.20706653195961e-004°)	(-6.11477735600206e+001dB,6.16069163615868e-004°)
1.01157945425990e+000	(-5.40816203153451e+001dB,6.22137529806973e-004°)	(-6.11477735600173e+001dB,6.17489349710311e-004°)
1.01391138573668e+000	(-5.40816203153272e+001dB,6.23571704929710e-004°)	(-6.11477735600159e+001dB,6.18912809671883e-004°)
1.01624869287070e+000	(-5.40816203153404e+001dB,6.25009186168785e-004°)	(-6.11477735600131e+001dB,6.20339551047510e-004°)
1.01859138805412e+000	(-5.40816203153458e+001dB,6.26449981144574e-004°)	(-6.11477735600097e+001dB,6.21769581401662e-004°)
1.02093948370768e+000	(-5.40816203153200e+001dB,6.27894097492871e-004°)	(-6.11477735600083e+001dB,6.23202908316313e-004°)
1.02329299228075e+000	(-5.40816203153488e+001dB,6.29341542877480e-004°)	(-6.11477735600060e+001dB,6.24639539390712e-004°)
1.02565192625141e+000	(-5.40816203153308e+001dB,6.30792324964924e-004°)	(-6.11477735600031e+001dB,6.26079482241740e-004°)
1.02801629812647e+000	(-5.40816203153284e+001dB,6.32246451451305e-004°)	(-6.11477735600012e+001dB,6.27522744503901e-004°)
1.03038612044162e+000	(-5.40816203153259e+001dB,6.33703930045831e-004°)	(-6.11477735599979e+001dB,6.28969333829127e-004°)
1.03276140576140e+000	(-5.40816203153313e+001dB,6.35164768475665e-004°)	(-6.11477735599964e+001dB,6.30419257887221e-004°)
1.03514216667934e+000	(-5.40816203153054e+001dB,6.36628974483868e-004°)	(-6.11477735599935e+001dB,6.31872524365405e-004°)
1.03752841581801e+000	(-5.40816203153342e+001dB,6.38096555839755e-004°)	(-6.11477735599920e+001dB,6.33329140968866e-004°)
1.03992016582906e+000	(-5.40816203153239e+001dB,6.39567520316765e-004°)	(-6.11477735599890e+001dB,6.34789115420337e-004°)
1.04231742939330e+000	(-5.40816203153370e+001dB,6.41041875719137e-004°)	(-6.11477735599857e+001dB,6.36252455460485e-004°)
1.04472021922080e+000	(-5.40816203153032e+001dB,6.42519629858513e-004°)	(-6.11477735599841e+001dB,6.37719168847884e-004°)
1.04712854805090e+000	(-5.40816203152851e+001dB,6.44000790573496e-004°)	(-6.11477735599811e+001dB,6.39189263358778e-004°)
1.04954242865232e+000	(-5.40816203153294e+001dB,6.45485365721264e-004°)	(-6.11477735599796e+001dB,6.40662746787570e-004°)
1.05196187382322e+000	(-5.40816203152956e+001dB,6.46973363162550e-004°)	(-6.11477735599771e+001dB,6.42139626946431e-004°)
1.05438689639126e+000	(-5.40816203153009e+001dB,6.48464790795032e-004°)	(-6.11477735599741e+001dB,6.43619911665656e-004°)
1.05681750921366e+000	(-5.40816203153061e+001dB,6.49959656523512e-004°)	(-6.11477735599711e+001dB,6.45103608793577e-004°)
1.05925372517729e+000	(-5.40816203153192e+001dB,6.51457968274208e-004°)	(-6.11477735599680e+001dB,6.46590726196612e-004°)
1.06169555719872e+000	(-5.40816203153088e+001dB,6.52959733987824e-004°)	(-6.11477735599660e+001dB,6.48081271759348e-004°)
1.06414301822431e+000	(-5.40816203152906e+001dB,6.54464961628763e-004°)	(-6.11477735599634e+001dB,6.49575253384457e-004°)
1.06659612123026e+000	(-5.40816203152957e+001dB,6.55973659179468e-004°)	(-6.11477735599613e+001dB,6.51072678992909e-004°)
1.06905487922266e+000	(-5.40816203152853e+001dB,6.57485834635919e-004°)	(-6.11477735599583e+001dB,6.52573556523859e-004°)
1.07151930523761e+000	(-5.40816203152749e+001dB,6.59001496016974e-004°)	(-6.11477735599552e+001dB,6.54077893934837e-004°)
1.07398941234124e+000	(-5.40816203152800e+001dB,6.60520651359586e-004°)	(-6.11477735599535e+001dB,6.55585699201751e-004°)
1.07646521362983e+000	(-5.40816203152539e+001dB,6.62043308713983e-004°)	(-6.11477735599504e+001dB,6.57096980318727e-004°)
1.07894672222983e+000	(-5.40816203152747e+001dB,6.63569476160711e-004°)	(-6.11477735599473e+001dB,6.58611745298476e-004°)
1.08143395129794e+000	(-5.40816203152876e+001dB,6.65099161784987e-004°)	(-6.11477735599451e+001dB,6.60130002172171e-004°)
1.08392691402120e+000	(-5.40816203152693e+001dB,6.66632373697503e-004°)	(-6.11477735599424e+001dB,6.61651758989411e-004°)
1.08642562361706e+000	(-5.40816203152588e+001dB,6.68169120028736e-004°)	(-6.11477735599402e+001dB,6.63177023818424e-004°)
1.08893009333343e+000	(-5.40816203152560e+001dB,6.69709408926476e-004°)	(-6.11477735599371e+001dB,6.64705804745966e-004°)
1.09144033644876e+000	(-5.40816203152611e+001dB,6.71253248557294e-004°)	(-6.11477735599344e+001dB,6.66238109877528e-004°)
1.09395636627209e+000	(-5.40816203152740e+001dB,6.72800647106746e-004°)	(-6.11477735599317e+001dB,6.67773947337226e-004°)
1.09647819614318e+000	(-5.40816203152322e+001dB,6.74351612774470e-004°)	(-6.11477735599289e+001dB,6.69313325267917e-004°)
1.09900583943252e+000	(-5.40816203152684e+001dB,6.75906153792353e-004°)	(-6.11477735599267e+001dB,6.70856251831247e-004°)
1.10153930954141e+000	(-5.40816203152422e+001dB,6.77464278393580e-004°)	(-6.11477735599235e+001dB,6.72402735207609e-004°)
1.10407861990207e+000	(-5.40816203152706e+001dB,6.79025994846343e-004°)	(-6.11477735599212e+001dB,6.73952783596362e-004°)
1.10662378397766e+000	(-5.40816203152366e+001dB,6.80591311423760e-004°)	(-6.11477735599184e+001dB,6.75506405215678e-004°)
