time	V(n001)
0.000000000000000e+000	-9.988309e+000
4.319999968860344e-009	-9.988285e+000
6.017142823682472e-009	-9.988285e+000
7.714285678504599e-009	-9.988285e+000
9.411428533326725e-009	-9.988284e+000
1.110857138814885e-008	-9.988284e+000
1.280571424297098e-008	-9.988283e+000
1.450285709779311e-008	-9.988282e+000
1.619999995261523e-008	-9.988280e+000
2.939999993456510e-008	-9.988284e+000
2.999999998420933e-008	-9.988285e+000
3.000010001530384e-008	-9.988285e+000
3.000046050471994e-008	-9.988285e+000
3.000049947354810e-008	-9.448924e+000
3.000052800627984e-008	-8.574886e+000
3.000055520674394e-008	-8.116591e+000
3.000061874322160e-008	-8.110428e+000
3.000068227969928e-008	-8.104949e+000
3.000074581617694e-008	-8.100155e+000
3.000080935265460e-008	-8.096046e+000
3.000087288913227e-008	-8.092622e+000
3.000093642560994e-008	-8.089883e+000
3.000099996208760e-008	-8.087829e+000
3.000116008796841e-008	-8.088636e+000
3.000132021384923e-008	-8.091521e+000
3.000148033973003e-008	-8.096482e+000
3.000164046561084e-008	-8.103519e+000
3.000180059149165e-008	-8.112634e+000
3.000196071737246e-008	-8.123824e+000
3.000212084325327e-008	-8.137092e+000
3.000246812101537e-008	-8.161528e+000
3.000277176701260e-008	-8.179770e+000
3.000304277245292e-008	-8.192797e+000
3.000329246161115e-008	-8.203886e+000
3.000353371307440e-008	-8.215376e+000
3.000379450446289e-008	-8.228896e+000
3.000406995079530e-008	-8.244017e+000
3.000437526212707e-008	-8.261264e+000
3.000475462533458e-008	-8.282683e+000
3.000522069696032e-008	-8.308130e+000
3.000581766388066e-008	-8.338422e+000
3.000657716745181e-008	-8.372540e+000
3.000757115012576e-008	-8.410046e+000
3.000876130920815e-008	-8.446230e+000
3.000993492596749e-008	-8.474028e+000
3.001133191959937e-008	-8.499286e+000
3.001292275817136e-008	-8.520957e+000
3.001499698784826e-008	-8.541740e+000
3.001762211018999e-008	-8.560813e+000
3.002153320386114e-008	-8.582246e+000
3.002570708732222e-008	-8.602605e+000
3.003139054102988e-008	-8.633431e+000
3.003706511295334e-008	-8.671376e+000
3.004323728683644e-008	-8.718030e+000
3.004691490060552e-008	-8.745589e+000
3.005073739847930e-008	-8.772537e+000
3.005545906598073e-008	-8.803674e+000
3.006297771834809e-008	-8.849456e+000
3.007154542045143e-008	-8.896496e+000
3.008309928942410e-008	-8.952229e+000
3.009587828950444e-008	-9.005980e+000
3.010748911291827e-008	-9.048642e+000
3.011954902154557e-008	-9.087823e+000
3.013262955819940e-008	-9.125825e+000
3.014772081977313e-008	-9.165164e+000
3.016444577452759e-008	-9.204281e+000
3.018396360632281e-008	-9.245224e+000
3.020511102347356e-008	-9.285076e+000
3.022828626297880e-008	-9.324476e+000
3.025123268551866e-008	-9.360101e+000
3.026894362934129e-008	-9.385534e+000
3.028544021121959e-008	-9.407702e+000
3.030199430265057e-008	-9.428680e+000
3.031962897415141e-008	-9.449681e+000
3.034273149404854e-008	-9.475342e+000
3.036782808552019e-008	-9.501046e+000
3.039760937406655e-008	-9.528843e+000
3.042966195687669e-008	-9.555860e+000
3.046815505447498e-008	-9.584934e+000
3.051192615233234e-008	-9.614406e+000
3.056587799532551e-008	-9.646909e+000
3.061137626714228e-008	-9.671682e+000
3.065688586323390e-008	-9.694212e+000
3.071031823287385e-008	-9.718178e+000
3.079830551699914e-008	-9.754031e+000
3.085902194888135e-008	-9.776793e+000
3.091629902085558e-008	-9.796790e+000
3.097868145340854e-008	-9.817363e+000
